Time [s]	Intensity A	Laser On	AcX	AcY	AcZ	GyX	GyY	GyZ	Ard Temp [C])	MPU Temp [C]
255	12958.0	False	1.03	-0.02	-0.09	-0.05	-0.05	0.11	22.79	21.19
256	12964.0	False	1.03	-0.02	-0.09	-0.02	-0.08	0.02	22.79	21.19
257	12961.0	False	1.03	-0.02	-0.09	-0.06	0.08	-0.05	22.79	21.19
258	12965.0	False	1.03	-0.02	-0.08	0.03	-0.14	0.08	22.79	21.04
259	12963.0	False	1.03	-0.02	-0.09	0.0	0.12	-0.08	22.79	21.19
260	12967.0	False	1.02	-0.02	-0.09	-0.08	0.03	-0.02	22.79	21.19
261	12964.0	False	1.03	-0.02	-0.09	-0.05	-0.03	0.11	22.79	21.09
262	12972.0	False	1.03	-0.02	-0.09	-0.21	0.0	0.03	22.79	21.14
263	12976.0	False	1.02	-0.02	-0.09	-0.24	0.09	0.03	22.79	21.14
264	12973.0	False	1.03	-0.02	-0.08	0.05	-0.08	-0.08	22.79	21.19
265	12947.0	False	1.03	-0.02	-0.1	-0.05	-0.21	0.05	22.79	21.23
266	12935.0	False	1.03	-0.02	-0.08	-0.06	0.06	-0.17	22.88	21.19
267	12948.0	False	1.03	-0.02	-0.09	0.11	0.09	-0.11	22.79	21.23
268	12947.0	False	1.03	-0.02	-0.09	0.29	0.12	0.03	22.79	21.09
269	12927.0	False	1.03	-0.02	-0.09	-0.14	-0.05	0.03	22.79	21.14
270	12942.0	False	1.03	-0.02	-0.09	-0.18	-0.02	0.17	22.79	21.09
271	12946.0	False	1.03	-0.02	-0.09	-0.02	-0.14	-0.08	22.79	21.19
272	12941.0	False	1.03	-0.02	-0.09	-0.03	-0.05	0.11	22.79	21.19
273	12946.0	False	1.02	-0.02	-0.09	0.12	-0.15	0.09	22.88	21.14
274	12947.0	False	1.03	-0.02	-0.09	-0.12	0.34	0.02	22.71	21.14
275	12934.0	False	1.05	-0.02	-0.09	-0.2	0.0	-0.08	22.79	21.14
276	12927.0	False	1.02	-0.02	-0.09	0.14	0.02	0.15	22.79	21.19
277	12948.0	False	1.02	-0.02	-0.09	0.05	0.03	0.12	22.79	21.19
278	12934.0	False	1.02	-0.02	-0.09	0.03	0.21	0.09	22.79	21.23
279	12931.0	False	1.03	-0.03	-0.09	0.06	-0.03	-0.05	22.79	21.19
280	10996.0	False	1.03	-0.02	-0.09	-0.09	0.14	-0.02	22.79	21.09
