Time [s],Intensity A,Laser On,AcX,AcY,AcZ,GyX,GyY,GyZ,MPU Temp [C]
15.760,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.770,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.780,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.790,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.800,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.810,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.820,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.830,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.840,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.850,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.860,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.870,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.880,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.890,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.900,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.910,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.920,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.930,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.940,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.950,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.960,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.970,1150.0,True,0,0,0,0,0,0,23.75294117647059
15.980,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
15.990,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.00,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.010,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.020,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.030,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.040,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
16.050,1150.0,True,0,0,0,0,0,0,23.75294117647059
16.060,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
